,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2809, 2816)",-2.4380562780806714,,4.666542011837365,,1.9636204149046077,,2000-12-01,2000-12-04,1.259167798345585,,2.523056934637737,,cointegration_invalid,0.0780718925624009,,0.36432576658609683,,2.87,1.0543120297715298,,2.86,67.69,4.214938458520516,,74.56
"(2816, 2845)",-2.9521427918873275,,2.810982229015222,,2.675327812766807,,2000-12-01,2000-12-11,0.7939057777000826,,-2.365680503031791,,cointegration_invalid,0.06673502748325244,,-0.18759097630826504,,67.69,4.214938458520516,,78.27,2.21,0.7929925155296614,,2.3
"(2816, 2820)",-2.8298609273525863,,2.7897462796516166,,2.3429161229922078,,2000-12-01,2000-12-11,0.587134405612813,,-1.7453401598741973,,cointegration_invalid,0.06291257191292404,,-0.17551011343739464,,67.69,4.214938458520516,,78.27,1.74,0.5538851132264376,,1.79
"(2812, 2845)",-2.8630753724922107,-3.2025546454510447,2.6233749861659574,0.04498394071103062,2.298836439575935,0.024000928170110153,2000-12-04,2000-12-11,0.9888912064295394,1.0070959087846623,-0.37190706623915887,-0.4049549654979657,reversion,0.052178947076423884,0.054400716675936614,-0.13688494456476774,0.0024471586135879075,3.73,1.3164082336557241,1.2267122912954254,3.41,2.21,0.7929925155296614,0.8329091229351039,2.3
"(2801, 2816)",-3.008864584266292,,2.8846156194968846,,2.9118328362546406,,2000-12-04,2000-12-18,1.632824133939384,,1.0956533610446815,,cointegration_invalid,0.12670816773609883,,0.3655043597693819,,5.73,1.7457155307266483,,5.67,74.56,4.311604170377335,,98.89
"(2812, 2816)",-4.0667606956340645,,4.096068868149716,,18.43387182581701,,2000-12-11,2000-12-18,1.2361384477749273,,2.541314513744737,,cointegration_invalid,0.0738424221320009,,0.30246364644365853,,3.41,1.2267122912954254,,3.39,78.27,4.360164387816747,,98.89
"(2809, 2834)",-3.424662772516803,-3.3417948388640544,2.6592489914306636,0.2865333729469964,4.028453353014656,0.18691342744274064,2000-11-27,2000-12-26,0.531984499916817,0.46261889213028357,1.602422727817159,1.7279811495917372,reversion,0.04682878837320821,0.05182315302807627,0.12452940825137393,-0.014849062833883042,2.89,1.0612565021243408,0.9631743177730056,2.62,9.89,2.2915241456346207,2.1587147225743437,8.66
"(2823, 2845)",-2.012869945330024,,2.7072489204745844,,1.0129001003246099,,2000-12-18,2000-12-26,0.7869463969292263,,0.06278692071684225,,cointegration_invalid,0.06691416783159014,,0.18115330862652756,,2.47,0.9042181506398859,,2.22,2.6,0.9555114450274363,,2.68
"(2816, 2834)",-3.012278006197176,,3.7255014244219673,,3.786149368835981,,2000-12-18,2001-01-02,0.4151995245619276,,0.5665794276321795,,cointegration_invalid,0.05446649092366599,,-0.2029149895193838,,98.89,4.5940081212819,,89.9,9.69,2.2710944259026746,,9.48
"(2845, 2849)",-2.102060601115044,,2.908061623773127,,1.1151047419236264,,2000-12-26,2001-01-02,0.6058071505427398,,1.6153770590808763,,cointegration_invalid,0.06117004984875237,,-0.17788627448944594,,2.68,0.9858167945227654,,2.68,7.65,2.0347056478384444,,8.08
"(2823, 2836)",-2.5721621121405294,,4.528658747320634,,2.3731268311368727,,2001-01-02,2001-01-08,0.7123225635200504,,0.528746382871299,,cointegration_invalid,0.05591514432642958,,0.25322060746158104,,2.41,0.8796267475025636,,2.55,4.09,1.4085449700547104,,4.49
"(2801, 2845)",-2.9040963614872863,,2.5385920518865515,,2.3216191810578155,,2001-01-08,2001-01-15,1.208827463276546,,-1.2940902848787246,,cointegration_invalid,0.10855720370136791,,0.2755824544913219,,6.11,1.809926773183504,,6.63,3.22,1.169381359556317,,3.53
