,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2809, 2812)",-2.709090169542618,-2.0565342800542736,3.336841337691199,4.090071612942731,2.3501311496605855,1.0828885624918432,2000-11-13,2000-12-04,1.157086420611999,0.9965238513510546,-0.24474744170437218,0.03255675235380632,stop_loss,0.05767923178958571,0.057867609919746446,0.1924664449617619,0.23668266864159815,3.15,1.1474024528375417,1.0508216248317612,2.86,3.58,1.275362800412609,1.3164082336557241,3.73
"(2809, 2816)",-2.4380562780806714,,4.666542011837365,,1.9636204149046077,,2000-12-01,2000-12-04,1.259167798345585,,2.523056934637737,,cointegration_invalid,0.0780718925624009,,0.36432576658609683,,2.87,1.0543120297715298,,2.86,67.69,4.214938458520516,,74.56
"(2816, 2845)",-2.615544012529303,,4.078890980660133,,2.3758309340884343,,2000-12-04,2000-12-11,0.7881189683832802,,-2.3447419670212186,,cointegration_invalid,0.06382189411736208,,-0.2603225482839542,,74.56,4.311604170377335,,78.27,2.21,0.7929925155296614,,2.3
"(2816, 2820)",-2.2075291772239582,,3.5585484561897327,,1.30138323610229,,2000-12-04,2000-12-11,0.5880785641005029,,-1.7535825592496272,,cointegration_invalid,0.06409757231559716,,-0.22809431700917804,,74.56,4.311604170377335,,78.27,1.74,0.5538851132264376,,1.79
"(2812, 2816)",-4.0667606956340645,,4.096068868149716,,18.43387182581701,,2000-12-11,2000-12-18,1.2361384477749273,,2.541314513744737,,cointegration_invalid,0.0738424221320009,,0.30246364644365853,,3.41,1.2267122912954254,,3.39,78.27,4.360164387816747,,98.89
"(2816, 2834)",-3.012278006197176,-2.0528546192945205,3.7255014244219673,4.09824521036093,3.786149368835981,1.0774041173725686,2000-12-18,2000-12-26,0.4151995245619276,0.41602473658299244,0.5665794276321795,0.5571557756933132,stop_loss,0.05446649092366599,0.06099202370872687,-0.2029149895193838,-0.24996026903451019,98.89,4.5940081212819,4.4505027059759525,85.67,9.69,2.2710944259026746,2.1587147225743437,8.66
"(2823, 2836)",-2.5721621121405294,,4.528658747320634,,2.3731268311368727,,2001-01-02,2001-01-08,0.7123225635200504,,0.528746382871299,,cointegration_invalid,0.05591514432642958,,0.25322060746158104,,2.41,0.8796267475025636,,2.55,4.09,1.4085449700547104,,4.49
"(2820, 2834)",-4.400714304346821,-3.203096387255062,4.360141670537753,4.882985268504233,34.2971663337373,6.738371232781905,2001-01-08,2001-01-15,0.6587510436623857,0.6654833898464355,1.8538438702749964,1.8433122087838127,stop_loss,0.041974880183190455,0.04953279668393125,-0.18301642420255804,-0.2418679165154516,2.28,0.8241754429663494,0.9669838461896731,2.63,9.15,2.21375387928743,2.244955980157409,9.44
"(2820, 2823)",-2.280817925698239,-1.9876359793148268,3.879765901282904,4.8426530028971495,1.4633464059795203,0.9806851866255808,2001-01-08,2001-01-15,1.7242339572067145,1.7752147826724334,-0.09313528374281073,-0.1499178835537025,stop_loss,0.1009964653835818,0.12383755108185594,-0.39184264254531986,-0.5997022886179788,2.28,0.8241754429663494,0.9669838461896731,2.63,2.55,0.9360933591703348,0.9669838461896731,2.63
"(2809, 2820)",-2.2685607560806016,,4.025838903700307,,1.4535858613461021,,2001-01-08,2001-01-15,0.6972861006385259,,-0.18398963470059734,,cointegration_invalid,0.06541662175341502,,0.26335678080354596,,2.91,1.0681530811834012,,3.12,2.28,0.8241754429663494,,2.63
"(2812, 2845)",-2.1165677762606774,,3.6652292833811773,,1.1634722151579744,,2000-12-26,2001-01-29,0.9899858390398313,,-0.37008044280253793,,cointegration_invalid,0.05916334462085358,,0.2168472232071248,,3.16,1.1505720275988207,,4.42,2.68,0.9858167945227654,,3.81
"(2801, 2809)",-2.0352914241411804,,3.618129451254502,,1.0464288371471338,,2001-02-01,2001-02-05,1.5606694882344432,,-1.695138682419892,,cointegration_invalid,0.10840122466457136,,-0.39220966351094155,,8.87,2.182674796321488,,8.39,3.74,1.3190856114264407,,3.73
"(2834, 2836)",-2.8637413240005962,,3.23000439314426,,2.7530859560612777,,2001-01-08,2001-02-12,1.877166512869956,,-3.0202102816641205,,cointegration_invalid,0.11346063004180978,,0.3664783334839612,,9.15,2.21375387928743,,10.26,4.49,1.501852701754163,,6.03
"(2801, 2823)",-2.323774522015006,,3.0439523539984017,,1.4339197908875236,,2001-02-01,2001-02-12,1.9546258207473315,,-2.605520357032073,,cointegration_invalid,0.1583918227817757,,-0.4821371618106838,,8.87,2.182674796321488,,8.19,3.25,1.1786549963416462,,3.15
"(2812, 2836)",-3.290617173227657,,3.6448440211482858,,5.307774892030154,,2001-02-05,2001-02-12,1.0331307388131057,,-0.05403715629687424,,cointegration_invalid,0.08082164126753458,,0.29458227595336495,,4.51,1.506297153514587,,4.42,6.03,1.7967470107390942,,6.03
"(2832, 2836)",-2.6778563347444018,,3.5847121258876067,,2.375966698899801,,2001-02-05,2001-02-12,1.253450855155816,,-0.1829988286205407,,cointegration_invalid,0.10632408772689383,,0.381141246548534,,3.58,1.275362800412609,,3.45,6.03,1.7967470107390942,,6.03
"(2812, 2820)",-2.9462651341260857,-3.134519851378436,3.976925559798999,0.024715456196612275,3.6925880464893606,0.015024188027489246,2001-01-15,2001-02-19,0.8001940015158374,0.8671717147777538,-0.37674680683847056,-0.4579881752933461,reversion,0.06873847536657213,0.07753165250131441,0.2733677996269346,-0.001916230161247201,3.81,1.3376291891386096,1.5107219394949427,4.53,2.63,0.9669838461896731,0.85015092936961,2.34
"(2820, 2834)",-2.133391842151542,,3.2051609696101675,,1.1680898299879947,,2001-03-01,2001-03-05,0.626892337102351,,1.8583726541153993,,cointegration_invalid,0.06166064909858034,,-0.19763230585159808,,2.7,0.9932517730102834,,2.75,9.81,2.2834022735772717,,9.73
"(2834, 2845)",-3.6185474873680774,,3.692537944357487,,8.284044049325965,,2000-12-26,2001-03-12,1.9290025298856264,,-3.507638590469862,,cointegration_invalid,0.08917693705722157,,0.32928922384536996,,8.66,2.1587147225743437,,9.36,2.68,0.9858167945227654,,3.25
"(2832, 2834)",-4.053081991028786,,3.53017443694617,,13.325098949280244,,2001-04-02,2001-05-02,0.640834765817963,,1.5200613093976694,,cointegration_invalid,0.0531224993031398,,-0.18753168906663487,,3.63,1.2892326482767593,,3.34,8.66,2.1587147225743437,,8.08
"(2812, 2849)",-3.4071652354830264,-3.010424980674598,3.1843094746493654,4.227208850302257,5.103000366566421,4.291215283761705,2001-05-02,2001-05-07,0.7125696740166645,0.72464161442464,1.2497184756494635,1.2376903996247117,stop_loss,0.057619417378330436,0.059285990724636556,0.1834780566815939,0.25061426469012116,3.34,1.205970806988609,1.1537315878891892,3.17,9.9,2.2925347571405443,2.3243465847755584,10.22
"(2823, 2832)",-4.998785008025374,-4.354626470971407,3.0534064405593297,1.0188826947903193,28.429213337600963,1.045031601204346,2001-04-02,2001-05-21,0.5718263281434064,0.5475182823457958,0.5941248614710164,0.6336971399141178,reversion,0.045139397257446014,0.05023525629209908,0.1378289263088518,-0.05118383330437626,2.65,0.9745596399981308,0.9242589015233319,2.52,3.63,1.2892326482767593,1.0885619528146082,2.97
"(2812, 2832)",-3.8562270149743885,-3.545513180534666,3.1272388369849238,0.44242274445757895,8.30101731031673,0.283554865626762,2001-05-07,2001-06-01,0.943793388600904,0.8689785321296647,-0.06998093313731721,0.04493237565511806,reversion,0.05981874266963401,0.06768490092954443,0.18706749525608668,-0.029945339627588385,3.17,1.1537315878891892,1.2584609896100056,3.52,3.34,1.205970806988609,1.1085626195212777,3.03
"(2823, 2834)",-2.840980204980045,,3.1310891796451013,,2.6113798611038517,,2001-04-09,2001-06-04,0.3705656871221912,,1.8935438333077361,,cointegration_invalid,0.050776247998510285,,-0.1589849606911118,,2.46,0.9001613499442714,,2.47,7.91,2.0681277817795625,,7.87
"(2836, 2850)",-2.171785343698276,,3.419366031921411,,1.2351622991435371,,2001-07-16,2001-07-23,0.5954624201700772,,0.10019102008979774,,cointegration_invalid,0.08384896007565396,,-0.28671028589462566,,5.54,1.7119945007591924,,5.04,2.3,0.8329091229351039,,2.3
"(2816, 2849)",-2.1021200261007555,-2.5344254291697825,3.024841671626805,0.2579577754640731,1.1196682593864962,0.4847486634829722,2001-07-16,2001-08-13,0.16617170307235324,0.12906119046186607,1.4873884076931316,1.6183262687374589,take_profit,0.0937914622885975,0.08466521276759059,-0.2837043235733637,-0.021840049944720108,105.76,4.6611723761033765,4.680463170023523,107.82,7.23,1.9782390361706734,2.200552367428894,9.03
"(2836, 2849)",-2.0849224020514208,-2.6693350706399643,3.2132096991836487,0.4961804702806496,1.1042069681598545,0.6255772615207659,2001-07-16,2001-08-13,0.20475735749683338,0.18969290294984908,1.9131208745358617,1.9006285160430687,take_profit,0.08882872115762204,0.07797838177290384,-0.28542530838975094,-0.03869135013980346,5.54,1.7119945007591924,1.7850704810772584,5.96,7.23,1.9782390361706734,2.200552367428894,9.03
"(2820, 2851)",-2.231873059368655,,3.864489498973046,,1.3681409709587695,,2001-09-03,2001-09-10,0.6373454754085252,,0.38611954976533175,,cointegration_invalid,0.06377286745008066,,0.2464495765802367,,1.97,0.6780335427498971,,1.61,2.9,1.0647107369924282,,2.93
"(2832, 2838)",-2.6948564578257073,,3.5895527361726693,,2.430375415013007,,2001-08-27,2001-09-19,1.7904916990589699,,-0.5042104335076457,,cointegration_invalid,0.07882835171588597,,-0.28295852558974,,3.39,1.220829921392359,,3.05,4.05,1.3987168811184478,,3.96
"(2820, 2850)",-2.6856825698817834,,3.159373941371372,,2.2007348425925883,,2001-09-10,2001-09-19,1.0951946710326392,,0.1493922451651119,,cointegration_invalid,0.09847428573509444,,0.311117092246616,,1.61,0.4762341789963717,,1.46,2.67,0.9820784724121582,,2.43
"(2820, 2849)",-3.1276421735895776,-3.264885710923721,3.152726001528431,0.30802420089990534,3.650392997677405,0.22548531916869866,2001-09-10,2001-10-02,0.4918586449927255,0.410818121430629,1.8066490877799821,1.8732340852696971,take_profit,0.061688633089570136,0.06501545264331914,0.1944873575402349,0.020026332846604017,1.61,0.4762341789963717,0.35065687161316933,1.42,9.35,2.2353763433005955,2.0373166153791646,7.67
"(2820, 2845)",-2.8476503365280923,,3.398549599965106,,2.820663050577216,,2001-09-10,2001-10-02,1.2055337658538952,,0.10040240168684048,,cointegration_invalid,0.0948727804279348,,0.32242984997093516,,1.61,0.4762341789963717,,1.42,2.71,0.9969486348916096,,2.76
"(2823, 2834)",-2.2517277429591993,,3.1238154851080564,,1.3320668868176362,,2001-12-10,2001-12-17,1.1137338533752232,,1.0411746040653402,,cointegration_invalid,0.08625847602308932,,-0.26945556312274843,,2.7,0.9932517730102834,,3.72,6.54,1.8779371654691073,,6.91
"(2823, 2851)",-2.6859848615849073,,3.535110455099285,,2.377914021752866,,2001-12-17,2001-12-24,0.10198337728471704,,0.8784221069528019,,cointegration_invalid,0.04175847832998704,,0.1476208333333741,,3.72,1.3137236682850553,,3.01,3.19,1.1600209167967532,,2.97
"(2845, 2851)",-2.6145205179139475,,3.9619854507927905,,2.330396023013652,,2001-12-17,2001-12-24,0.15080304679620785,,0.8002693695142532,,cointegration_invalid,0.04444543824267092,,0.17609217967157167,,3.38,1.2178757094949273,,3.21,3.19,1.1600209167967532,,2.97
"(2809, 2851)",-2.5986155354699085,,4.061879957753679,,2.3141605701345846,,2001-12-17,2001-12-24,0.12654871874582435,,0.8231752385968565,,cointegration_invalid,0.04416661995887631,,0.17939950841268332,,3.47,1.244154593958768,,3.03,3.19,1.1600209167967532,,2.97
"(2816, 2845)",-2.502936837501359,-2.203344774938747,4.859019713406978,3.3095887735659906,2.2145761190171185,1.2755378024899113,2001-12-17,2001-12-24,-7.229567829948119,131.00778515701222,34.911925222522356,-613.2985814991646,reversion,0.43381492789126275,9.066038693663277,2.1079152865938724,-30.00485988126286,141.48,4.95215836433728,4.9193237756456645,136.91,3.38,1.2178757094949273,1.1662709371419244,3.21
"(2812, 2851)",-2.5550530063982495,,3.9993224003334666,,2.1584121141042396,,2001-12-17,2001-12-24,0.23318584508030024,,0.660609971438426,,cointegration_invalid,0.04260440605693535,,0.17038875549640436,,4.1,1.410986973710262,,3.57,3.19,1.1600209167967532,,2.97
"(2801, 2851)",-2.459086756972417,,4.228250604185461,,1.938483434726082,,2001-12-17,2001-12-24,0.0858101467727609,,0.8049465788974993,,cointegration_invalid,0.045989402372997513,,0.194454718369755,,6.5,1.8718021769015913,,5.82,3.19,1.1600209167967532,,2.97
"(2832, 2851)",-2.3675740071519016,,3.647601654654737,,1.6090862123679943,,2001-12-17,2001-12-24,0.43330012436570725,,0.46096923503250464,,cointegration_invalid,0.043511449112328744,,0.1587124337785557,,3.48,1.247032293786383,,3.26,3.19,1.1600209167967532,,2.97
"(2816, 2832)",-2.278238298628719,,4.9019847523683735,,1.5562806527998152,,2001-12-17,2001-12-24,-2.082746112720827,,10.904759115168268,,cointegration_invalid,0.13389714466214855,,0.6563617615195145,,141.48,4.95215836433728,,136.91,3.48,1.247032293786383,,3.26
"(2850, 2851)",-2.2029533268038692,,3.8889199915613863,,1.3173699705710504,,2001-12-17,2001-12-24,0.11013227435868538,,0.8451252268489546,,cointegration_invalid,0.04656680689151967,,0.1810945862636094,,3.37,1.2149127443642704,,2.85,3.19,1.1600209167967532,,2.97
"(2820, 2851)",-2.1864719066670584,,4.144555883297831,,1.3035938411152423,,2001-12-17,2001-12-24,0.01013630539069764,,0.954150379566116,,cointegration_invalid,0.047744197016590675,,0.19787849263844162,,2.2,0.7884573603642703,,1.86,3.19,1.1600209167967532,,2.97
"(2812, 2836)",-2.1664277794025066,-2.4315978095289306,3.1199887586816697,0.40728971379854956,1.208483684181218,0.6786333214828181,2001-12-17,2001-12-24,-0.9326296937003978,7.233780535636528,3.027744886224243,-7.4824168170032515,take_profit,0.1469169933882694,0.7843919367404083,0.45837936783070976,0.31947476742089087,4.1,1.410986973710262,1.2725655957915476,3.57,8.76,2.1701959049483,2.0425181875752383,7.71
"(2851, 2852)",-2.1244374913457147,,4.2201794829789865,,1.1962297834295006,,2001-12-17,2001-12-24,17.657172727399573,,-15.844114337407563,,cointegration_invalid,0.8411996265496711,,-3.550013405054507,,3.19,1.1600209167967532,,2.97,2.97,1.0885619528146082,,2.81
