,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2812, 2816)",-4.0667606956340645,,4.096068868149716,,4.500381321504488,,2000-12-11,2000-12-18,1.2361384477749273,,2.541314513744737,,cointegration_invalid,0.0738424221320009,,0.30246364644365853,,3.41,1.2267122912954254,,3.39,78.27,4.360164387816747,,98.89
"(2816, 2834)",-3.012278006197176,,3.7255014244219673,,1.0162791360154757,,2000-12-18,2001-01-02,0.4151995245619276,,0.5665794276321795,,cointegration_invalid,0.05446649092366599,,-0.2029149895193838,,98.89,4.5940081212819,,89.9,9.69,2.2710944259026746,,9.48
"(2812, 2836)",-3.290617173227657,,3.6448440211482858,,1.456241984906112,,2001-02-05,2001-02-12,1.0331307388131057,,-0.05403715629687424,,cointegration_invalid,0.08082164126753458,,0.29458227595336495,,4.51,1.506297153514587,,4.42,6.03,1.7967470107390942,,6.03
"(2834, 2836)",-3.0453594073782577,,3.1385609805888706,,1.0532498460887048,,2001-02-05,2001-02-12,1.9723037426153067,,-3.2240201428553648,,cointegration_invalid,0.11671193130187442,,0.3663075135532319,,10.59,2.359910159613315,,10.26,6.03,1.7967470107390942,,6.03
"(2820, 2834)",-4.400714304346821,,4.360141670537753,,7.866066959587417,,2001-01-08,2001-03-05,0.6587510436623857,,1.8538438702749964,,cointegration_invalid,0.041974880183190455,,-0.18301642420255804,,2.28,0.8241754429663494,,2.75,9.15,2.21375387928743,,9.73
"(2834, 2845)",-3.6185474873680774,,3.692537944357487,,2.2434553616394632,,2000-12-26,2001-03-12,1.9290025298856264,,-3.507638590469862,,cointegration_invalid,0.08917693705722157,,0.32928922384536996,,8.66,2.1587147225743437,,9.36,2.68,0.9858167945227654,,3.25
"(2832, 2834)",-4.053081991028786,,3.53017443694617,,3.7746290409397782,,2001-04-02,2001-05-02,0.640834765817963,,1.5200613093976694,,cointegration_invalid,0.0531224993031398,,-0.18753168906663487,,3.63,1.2892326482767593,,3.34,8.66,2.1587147225743437,,8.08
"(2823, 2832)",-4.998785008025374,-4.354626470971407,3.0534064405593297,1.0188826947903193,9.310654801786963,1.025664295357777,2001-04-02,2001-05-21,0.5718263281434064,0.5475182823457958,0.5941248614710164,0.6336971399141178,reversion,0.045139397257446014,0.05023525629209908,0.1378289263088518,-0.05118383330437626,2.65,0.9745596399981308,0.9242589015233319,2.52,3.63,1.2892326482767593,1.0885619528146082,2.97
"(2812, 2832)",-3.8562270149743885,-3.545513180534666,3.1272388369849238,0.44242274445757895,2.6544238361787613,0.6409138525968125,2001-05-07,2001-06-01,0.943793388600904,0.8689785321296647,-0.06998093313731721,0.04493237565511806,reversion,0.05981874266963401,0.06768490092954443,0.18706749525608668,-0.029945339627588385,3.17,1.1537315878891892,1.2584609896100056,3.52,3.34,1.205970806988609,1.1085626195212777,3.03
"(2812, 2849)",-3.4071652354830264,-2.7795361565275227,3.1843094746493654,0.21914173730789907,1.6025453578529232,1.3974821787221123,2001-05-02,2001-06-11,0.7125696740166645,0.7070647312191112,1.2497184756494635,1.2813111914223598,take_profit,0.057619417378330436,0.06701760436607124,0.1834780566815939,0.014686354250994293,3.34,1.205970806988609,1.3164082336557241,3.73,9.9,2.2925347571405443,2.2267833795777636,9.27
