,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2327, 2375)",-1.9489531862722145,,2.3389243149872887,,1.0424722838714249,,2000-11-13,2000-11-20,2.3052623203994473,,-5.648014050818079,,cointegration_invalid,0.22768317985576011,,-0.5325337254782614,,52.25,3.9560398908449206,,46.97,18.9,2.9391619220655967,,13.8
"(2327, 2421)",-1.9493130750793393,,1.961033488487555,,1.0337685967281924,,2000-11-13,2000-11-20,1.3221902623003865,,-3.3122817565671236,,cointegration_invalid,0.17200992662683567,,-0.33731722646751194,,52.25,3.9560398908449206,,46.97,4.86,1.5810384379124025,,3.68
"(2392, 2413)",-3.8763283887707725,,1.5180617538556964,,2.2818519557527615,,2000-11-13,2000-11-27,0.9365577230636781,,1.2946061750929285,,cointegration_invalid,0.0955401433374706,,-0.14503583755850524,,15.58,2.7459880404426023,,17.23,41.32,3.721346644251438,,35.85
"(2327, 2328)",-2.12799161340028,,2.550438060531434,,1.2379547196767011,,2000-11-13,2000-11-27,1.7516618812489142,,-4.2691476369333925,,cointegration_invalid,0.18426679661313614,,-0.46996105137434707,,52.25,3.9560398908449206,,54.46,8.94,2.190535589185423,,7.47
"(2413, 2431)",-2.157812631785045,,1.5810090179503584,,1.1253504464941817,,2000-11-20,2000-11-27,2.5535436834775034,,-7.802690207179424,,cointegration_invalid,0.3720660606621781,,0.5882397971801687,,32.02,3.4663607075685685,,35.85,5.14,1.6370530794670737,,5.55
"(1471, 2327)",-2.1478509902335072,-2.341214827340609,1.5130433473157736,0.4649671762735557,1.1080933287748693,0.7132828557083962,2000-11-13,2000-12-01,0.6416336107347593,0.5205083706490581,2.7447022000692636,3.028727497629908,take profit,0.15344482693867928,0.15352038733100795,0.2321686745795889,0.07138194099772133,4.6,1.5260563034950492,1.6937790608678513,5.44,52.25,3.9560398908449206,3.9817356178394463,53.61
"(2462, 2484)",-2.7322045461835027,,2.4054686093524373,,2.0760419179886758,,2000-11-20,2000-12-01,1.5125979864920904,,1.5497485662535497,,cointegration_invalid,0.1886398576167522,,0.4537672559698107,,2.39,0.8712933659434193,,2.55,27.7,3.3214324131932926,,34.02
"(2421, 2484)",-3.1207713469202103,,1.5639035602833407,,1.7261795396640958,,2000-11-20,2000-12-01,0.9655659466402872,,1.6750095782532775,,cointegration_invalid,0.2483367004551464,,0.38837464999082094,,3.68,1.3029127521808397,,3.7,27.7,3.3214324131932926,,34.02
"(2413, 2484)",-2.5661336251175975,,1.601954380937658,,1.3687506632000326,,2000-11-27,2000-12-01,1.445879823655936,,-2.0505095433229004,,cointegration_invalid,0.23128224327047572,,0.37050360284022776,,35.85,3.5793435670456293,,35.3,32.96,3.495294705041271,,34.02
"(2483, 2484)",-2.184511377302145,,2.2753479104151046,,1.263525946629463,,2000-11-27,2000-12-01,0.9623274021048216,,0.5226029390327288,,cointegration_invalid,0.13543826572889034,,0.30816917491647633,,15.94,2.768831673362069,,15.33,32.96,3.495294705041271,,34.02
