,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2809, 2887)",-2.537344781290343,,2.271673579007648,,1.5541059535916981,,2009-12-07,2009-12-14,2.370609192896585,,-2.4355932177406876,,cointegration_invalid,0.13877715668993262,,-0.3152564002223244,,6.8,1.916922612182061,,6.72,6.01,1.7934247485471162,,5.75
"(2816, 2883)",-2.124908130081833,,2.1691039608990623,,1.1015498403567583,,2009-12-07,2009-12-14,0.6053606842733807,,-0.46998159958533786,,cointegration_invalid,0.07355566420926048,,0.15954988258286829,,32.31,3.475376779836407,,31.98,6.01,1.7934247485471162,,6.0
"(2801, 2891)",-2.976270146947595,,1.7444112967702616,,1.721530010117553,,2009-12-07,2009-12-21,1.8157082183544124,,-1.5728844122014325,,cointegration_invalid,0.06186743090794118,,-0.10792224537796624,,8.26,2.1114245875328868,,7.96,8.61,2.152924318439639,,8.22
"(2809, 2888)",-2.1235142415847563,,1.7150602733549243,,1.0688994185873364,,2009-12-07,2009-12-21,1.4079699907794005,,-0.12884079005331128,,cointegration_invalid,0.10896743947570574,,-0.18688572653399005,,6.8,1.916922612182061,,6.91,10.84,2.3832429960115,,9.91
"(2809, 2889)",-2.5079292241964177,,1.7379836922426835,,1.3241165832045592,,2009-12-07,2009-12-28,1.4849361420978031,,-0.9326929566534319,,cointegration_invalid,0.1150855355632235,,-0.20001678402189782,,6.8,1.916922612182061,,6.87,5.55,1.713797927758343,,5.66
"(2801, 2816)",-2.320795431117186,,1.9106536050316578,,1.2308408102812303,,2009-12-07,2009-12-28,1.6934731420568638,,0.14933972830754386,,cointegration_invalid,0.13063790227556024,,-0.2496037789365726,,8.26,2.1114245875328868,,8.18,32.31,3.475376779836407,,33.25
"(2851, 2852)",-2.691436119295811,,1.6905256662900903,,1.4376808466413167,,2009-12-14,2010-01-04,1.2360769975320225,,-0.35203943924254916,,cointegration_invalid,0.061541201276013695,,-0.10403698029142561,,7.39,2.0001277349601105,,7.67,7.51,2.0162354657760435,,8.14
"(2851, 2886)",-3.0313348297486846,,1.5519799257195566,,1.5735026655382833,,2009-12-28,2010-01-04,1.353455443044905,,-0.21685782208571217,,cointegration_invalid,0.07059596506768212,,-0.10956352062184171,,7.58,2.0255131996542803,,7.67,11.19,2.4150205223238337,,11.25
"(2809, 2891)",-3.065201122726335,,2.569535724311377,,2.7326099418308005,,2009-12-07,2010-01-11,1.6171065503496973,,-0.7025679831579583,,cointegration_invalid,0.09510504515011468,,-0.24437581107546613,,6.8,1.916922612182061,,7.05,8.61,2.152924318439639,,8.92
"(2809, 2836)",-2.332298318184325,-2.590148820310154,2.1749357277232413,0.35020597973312007,1.2945918849047395,0.5383727688184671,2009-12-07,2010-01-11,1.1064370132100718,0.9881187984745995,-0.017965642616747244,0.17220868191387742,reversion,0.07485693050107929,0.08160295903033787,-0.162809012614493,0.02857784421634113,6.8,1.916922612182061,1.9530276168241774,7.05,6.96,1.9401794743463283,2.130609828254235,8.42
